ID,Title,Content,Permalink,Categories,Tags,"Resource Author","Organizational Author","Attributed Date",Link,"Alignment: JTF","Alignment: Regenerative Economies","Alignment: Democratic Systems","BIPOC Author","Added By",Notes,"Attributed Date (v2)",Status
1541,"Civil Rights in Federally Assisted Emergency and Disaster Preparedness and Recovery","<!-- wp:embed {""url"":""https://youtu.be/ue5b024y1u4"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-4-3 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-4-3 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://youtu.be/ue5b024y1u4
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p>This webinar focuses on civil rights compliance in the preparedness and recovery phase of emergencies and disasters. Addressing the needs of the whole community requires planning for the needs of all populations (e.g. limited English proficient individuals, individuals with disabilities, public transit dependent, etc.)&nbsp;in every phase of emergency management.</p>
<!-- /wp:paragraph -->",https://thechisholmlegacyproject.org/resource-detail/civic-rights-in-federally-assisted-emergency-and-disaster-preparedness-and-recovery/,"Resources>Videos &amp; Webinars","Emergency Management",,"U.S. Environmental Protection Agency",6/27/2018,https://youtu.be/ue5b024y1u4,,,,,,,6/27/2018,publish
1544,"Whole Community Disaster Planning: Inclusive Approaches to Recovery and Preparedness","<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=6ERTCivTrDg"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=6ERTCivTrDg
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p><strong>Host</strong>: U.S. Environmental Protection Agency</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Summary</strong>: This webinar highlights efforts that support and strengthen community leaders, networks, and assets that can be leveraged to improve resiliency, public health, and community access to information and resources.</p>
<!-- /wp:paragraph -->",https://thechisholmlegacyproject.org/resource-detail/whole-community-disaster-planning-inclusive-approaches-to-recovery-and-preparedness/,"Resources>Videos &amp; Webinars","Emergency Management",,,,,,,,,,,,publish
1548,"Discrimination Protections and Promising Practices in Federally Assisted Emergency Management","This webinar discusses new guidelines and resources to protect against discrimination and promote the inclusion of all vulnerable communities in federally assisted emergency management and related activities.",https://thechisholmlegacyproject.org/resource-detail/discrimination-protections-and-promising-practices-in-federally-assisted-emergency-management/,"Resources>Videos &amp; Webinars","Emergency Management",,"U.S. Environmental Protection Agency",12-Jan-17,https://youtu.be/8k1gbQwXGr0,,,,,Cara,,12-Jan-17,publish
1549,"How to Organize a Twitter Storm","<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=URPnU5Ku7ZAu0026ab_channel=AnthropoceneAlliance"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-4-3 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-4-3 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=URPnU5Ku7ZA&amp;ab_channel=AnthropoceneAlliance
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p>Learn how to organize a Twitter storm to get the attention of elected officials. Higher Ground is the largest flood survivor network in the US.</p>
<!-- /wp:paragraph -->",https://thechisholmlegacyproject.org/resource-detail/how-to-organize-a-twitter-storm/,"Resources>Videos &amp; Webinars",Organizing,,,,,,,,,,,,publish
1550,"Flooded? How to protect your community using nature","<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=UrkzbZUB6k0u0026ab_channel=AnthropoceneAlliance"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=UrkzbZUB6k0&amp;ab_channel=AnthropoceneAlliance
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p><strong>Organizational Sponsor</strong>: Anthropocene Alliance, Natural Hazard Mitigation Association</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Summary</strong>: Interested in 'nature-based' or 'green infrastructure' solutions to flooding? This training explains what it is and how it works.</p>
<!-- /wp:paragraph -->",https://thechisholmlegacyproject.org/resource-detail/flooded-how-to-protect-your-community-using-nature/,"Resources>Videos &amp; Webinars","Climate Adaptation &amp; Resilience|Emergency Management|Green Space|Sea Level Rise &amp; Flooding",,,,,,,,,,,,publish
1552,"Anti-Eviction Mapping Project","<!-- wp:paragraph -->
<p>The Anti-Eviction Mapping Project visualizes dispossession from and resistance to gentrification.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><a href=""https://antievictionmap.com"">https://antievictionmap.com</a></p>
<!-- /wp:paragraph -->",https://thechisholmlegacyproject.org/resource-detail/anti-eviction-mapping-project/,Resources>Data,"Housing Justice &amp; Tenant Support",,,,https://antievictionmap.com,,,,,,,,publish
1579,"‘1.5°C to stay alive’: climate change, imperialism and justice for the Caribbean","Treating the threat of climate change in the Caribbean as a case study instructive for responses globally, this article examines the social and political relations of climate change. It argues for an analysis taking into account the ways in which the histories of imperialism and colonialism have shaped contemporary global ‘development’ pathways. The article charts how Caribbean vulnerability to temperature rises of more than 1.5°C of warming comprise an existential threat structured by contemporary social relations that are imperialist in character. Hope can be taken from a politics of climate justice which acknowledges the climate debts owed to the region.",https://thechisholmlegacyproject.org/resource-detail/1-5c-to-stay-alive-climate-change-imperialism-and-justice-for-the-caribbean/,Resources>Publication,"Environmental Justice","Leon Sealey-Huggins",,9/8/17,https://www.tandfonline.com/doi/full/10.1080/01436597.2017.1368013,Yes,,,,Cara,,9/8/17,publish
1580,"1.5°C National Pathway Explorer","In this project, Climate Analytics uses&nbsp;IPCC&nbsp;1.5°C compatible pathways in combination with more recent lines of scientific evidence to show how a selection of 64 countries across all regions and the development spectrum can align their decarbonisation trajectories with the Paris Agreement, and live up to their promises to prevent dangerous climate change.",https://thechisholmlegacyproject.org/resource-detail/1-5c-national-pathway-explorer/,"Resources>Analysis Tool",Policy,"Matthew Gidden, Deborah Ramalope","Climate Analytics",2020,http://1p5ndc-pathways.climateanalytics.org/,,,,,Cara,,2020,publish
1581,"About to be Flooded?","Practical suggestions for protecting people and property during flooding events.",https://thechisholmlegacyproject.org/resource-detail/about-to-be-flooded/,Resources>Guide,"Climate Adaptation &amp; Resilience|Sea Level Rise &amp; Flooding",,"Anthropocene Alliance",2021,https://anthropocenealliance.org/wp-content/uploads/2021/01/Factsheet-AbouttobeFlooded_.pdf,,,,,Cara,,2021,publish
1582,"An Invitation to Save the Planet by Ending White Supremacy","A racist system that values some lives over others helps to fuel the climate crisis.",https://thechisholmlegacyproject.org/resource-detail/an-invitation-to-save-the-planet-by-ending-white-supremacy/,Resources>Publication,"Environmental Justice","Hop Hopkins",Sierra,2021,https://www.sierraclub.org/sierra/2021-4-fall/top/invitation-save-planet-ending-white-supremacy,,,,Yes,Cara,,2021,publish
